"filename", "language", "Python", "JSON", "Markdown", "pip requirements", "PowerShell", "comment", "blank", "total"
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\README.md", "Markdown", 0, 0, 91, 0, 0, 0, 32, 123
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\assets\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\assets\architecture.md", "Markdown", 0, 0, 56, 0, 0, 0, 1, 57
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 3, 7
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\raspberry-pi-client\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\requirements.txt", "pip requirements", 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\src\windows_mic_client\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\src\windows_mic_client\audio\audio_utils.py", "Python", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\src\windows_mic_client\audio\player.py", "Python", 32, 0, 0, 0, 0, 1, 11, 44
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\src\windows_mic_client\audio\recorder.py", "Python", 89, 0, 0, 0, 0, 17, 30, 136
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\src\windows_mic_client\client\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\src\windows_mic_client\client\assistant_api_client.py", "Python", 56, 0, 0, 0, 0, 2, 18, 76
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\src\windows_mic_client\config.py", "Python", 15, 0, 0, 0, 0, 4, 7, 26
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\src\windows_mic_client\main.py", "Python", 25, 0, 0, 0, 0, 0, 13, 38
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\src\windows_mic_client\orchestrator\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\src\windows_mic_client\orchestrator\orchestrator.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\clients\windows-mic-client\tests\test_config.py", "Python", 35, 0, 0, 0, 0, 0, 13, 48
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\deployment\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 3, 7
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\models\tts\en_GB-alan-medium.onnx.json", "JSON", 0, 493, 0, 0, 0, 0, 0, 493
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\requirements.txt", "pip requirements", 0, 0, 0, 125, 0, 0, 0, 125
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\scripts\README.md", "Markdown", 0, 0, 13, 0, 0, 0, 10, 23
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\scripts\bootstrap.ps1", "PowerShell", 0, 0, 0, 0, 9, 7, 5, 21
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\scripts\run_client.ps1", "PowerShell", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\scripts\run_server.ps1", "PowerShell", 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\__init__.py", "Python", 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\api\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 2, 3
